[2025-07-12 00:30:29] [INFO    ] discord.client: logging in using static token
[2025-07-12 00:30:30] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-12 00:30:30] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-12 00:30:30] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1393267805784375378', 'username': 'daemon_time_v1', 'avatar': None, 'discriminator': '4613', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-12 00:30:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-12 00:30:31] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-12 00:30:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1393267805784375378', 'name': 'daemon_time_v1', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1393267805784375378', 'username': 'daemon_time_v1', 'avatar': None, 'discriminator': '4613', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '6fd04cca723b5f26503f645507a00416429c5cbf71a8fe2b6898b6ba0f2d409d', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1032271783576997958', 'username': 'own_the_net', 'avatar': None, 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'AKM', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-12 00:30:32] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-12 00:30:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-x0rj",{"micros":0.0}]']}}
[2025-07-12 00:30:32] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-12 00:30:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-12 00:30:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'daemon_time_v1', 'primary_guild': None, 'mfa_enabled': False, 'id': '1393267805784375378', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4613', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '440d571d04fee26b2c50c1c67d84e09c', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1393270498934394930'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['southafrica', 'dubai', 'tel-aviv', 'india', 'bucharest'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1393267805784375378', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-b-x0rj",{"micros":91797,"calls":["id_created",{"micros":458,"calls":[]},"session_lookup_time",{"micros":271,"calls":[]},"session_lookup_finished",{"micros":16,"calls":[]},"discord-sessions-prd-2-76",{"micros":90774,"calls":["start_session",{"micros":59776,"calls":["discord-api-rpc-799d7c89c-bcvkc",{"micros":45382,"calls":["get_user",{"micros":6138},"get_guilds",{"micros":4825},"send_scheduled_deletion_message",{"micros":21},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":5817},"apex_experiments",{"micros":795},"user_activities",{"micros":5},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":379,"calls":[]},"guilds_started",{"micros":62,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":30501,"calls":[]},"connect_finished",{"micros":30507,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-07-12 00:30:33] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 00:30:33] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 440d571d04fee26b2c50c1c67d84e09c).
[2025-07-12 00:30:33] [DEBUG   ] discord.client: Dispatching event connect
